gene	strand	aligned reads	num sites	locations
ENSMUSG00000056536	-	1	0	
ENSMUSG00000031621	+	1	0	
ENSMUSG00000015947	-	1	0	
ENSMUSG00000035505	-	7	1	90214723
ENSMUSG00000031605	-	3	1	64739861
ENSMUSG00000087193	+	19	2	8072959,8073144
ENSMUSG00000006641	-	1	0	
ENSMUSG00000028700	+	4	1	116138850
ENSMUSG00000036120	-	2	1	70133265
ENSMUSG00000030536	-	1	0	
ENSMUSG00000030315	-	1	0	
ENSMUSG00000041438	+	63	1	106923088
ENSMUSG00000112218	+	4	1	32770243
ENSMUSG00000103691	-	2	0	
ENSMUSG00000044636	-	1	0	
ENSMUSG00000025577	+	1	0	
ENSMUSG00000073377	-	22	2	64514198,64514133
ENSMUSG00000020130	-	35	3	115198457,115199393,115198860
ENSMUSG00000037949	-	5	1	122175891
ENSMUSG00000020076	-	6	1	62616014
ENSMUSG00000010067	+	1	0	
ENSMUSG00000020250	+	1	0	
ENSMUSG00000073077	-	5	1	79266557
ENSMUSG00000004896	-	2	1	87923657
ENSMUSG00000028911	+	3	1	131901706
ENSMUSG00000097327	-	16	1	22144297
ENSMUSG00000036977	+	7	1	79775344
ENSMUSG00000031231	+	21	1	106021958
ENSMUSG00000021374	-	1	0	
ENSMUSG00000028907	-	17	3	124678808,124678762,124678784
ENSMUSG00000031948	-	10	1	111993442
ENSMUSG00000039396	-	10	1	53586866
ENSMUSG00000025401	+	1	0	
ENSMUSG00000062101	-	1	0	
ENSMUSG00000002635	-	31	1	34184632
ENSMUSG00000026141	-	1	0	
ENSMUSG00000058498	-	1	0	
ENSMUSG00000060475	-	16	1	12966798
ENSMUSG00000026399	-	2	1	130439028
ENSMUSG00000025289	-	1	0	
ENSMUSG00000029617	-	10	1	143987910
ENSMUSG00000061589	+	1	0	
ENSMUSG00000032293	+	2	1	54910037
ENSMUSG00000036206	+	1	0	
ENSMUSG00000023952	+	2	1	46169368
ENSMUSG00000026189	-	36	2	72259171,72266747
ENSMUSG00000032719	-	1	0	
ENSMUSG00000049502	-	1	0	
ENSMUSG00000019856	-	5	1	53633365
ENSMUSG00000087260	+	27	1	107284082
ENSMUSG00000044433	+	21	2	3609075,3609043
ENSMUSG00000088094	-	10	2	8679472,8711145
ENSMUSG00000052160	+	1	0	
ENSMUSG00000030868	+	2	0	
ENSMUSG00000025257	-	5	1	152004579
ENSMUSG00000065990	+	11	1	155833061
ENSMUSG00000066027	-	80	1	88175595
ENSMUSG00000057193	+	4	1	21355028
ENSMUSG00000018666	+	14	1	96808149
ENSMUSG00000105034	-	11	2	82794850,82794919
ENSMUSG00000021131	-	39	2	80634038,80634177
ENSMUSG00000014592	-	3	1	150965878
ENSMUSG00000038085	+	3	1	156375638
ENSMUSG00000020664	-	5	2	31331561,31331708
ENSMUSG00000034544	+	1	0	
ENSMUSG00000086669	+	2	1	27331295
ENSMUSG00000022518	+	8	2	4867693,4867671
ENSMUSG00000027673	+	14	2	32751231,32751565
ENSMUSG00000021509	+	7	2	56455966,56471907
ENSMUSG00000084260	-	1	0	
ENSMUSG00000069114	+	3	1	9282128
ENSMUSG00000107112	+	4	1	149911250
ENSMUSG00000032834	-	7	2	78170908,78171594
ENSMUSG00000028016	+	9	2	133109546,133109591
ENSMUSG00000053483	-	7	1	171281948
ENSMUSG00000034647	-	3	1	66037141
ENSMUSG00000001755	+	9	1	101086618
ENSMUSG00000033933	+	1	0	
